title,author,description,created,updated,keywords,doi,url,license,type
An Ontology based Agent Generation for Information Retrieval on Cloud Environment,"Chang, Yue-Shan, Yang, Chao-Tung, Luo, Yu-Cheng","Retrieving information or discovering knowledge from a well organized data center in general is requested to be familiar with its schema, structure, and architecture, which against the inherent concept and characteristics of cloud environment. An effective approach to retrieve desired information or to extract useful knowledge is an important issue in the emerging information/knowledge cloud. In this paper, we propose an ontology-based agent generation framework for information retrieval in a flexible, transparent, and easy way on cloud environment. While user submitting a flat-text based request for retrieving information on a cloud environment, the request will be automatically deduced by a Reasoning Agent (RA) based on predefined ontology and reasoning rule, and then be translated to a Mobile Information Retrieving Agent Description File (MIRADF) that is formatted in a proposed Mobile Agent Description Language (MADF). A generating agent, named MIRA-GA, is also implemented to generate a MIRA according to the MIRADF. We also design and implement a prototype to integrate these agents and show an interesting example to demonstrate the feasibility of the architecture.",2022-08-17T05:36:06.322849+00:00,2024-07-16T05:59:50.291244+00:00,"ontology, agent generation, information retrieval, cloud computing",10.3217/jucs-017-08-1135,,cc-by-4.0,publication
Decoding 5G security: toward a hybrid threat ontology,"Paskauskas, R. Andrew","<p>The rapid deployment of 5G technology ushers in a new era of connectivity with unparalleled potential, but it also presents unprecedented security challenges.</p><p>A meticulous review of ENISA's Taxonomy is undertaken, specifically in its application to 5G networks and their cybersecurity assets. This work also evaluates the relevance of cybersecurity structures in other EU papers and ENISA reports, providing critical insights into the evolving landscape of cybersecurity.</p><p>In the context of hybrid threats, the study categorizes these multifaceted challenges using the established taxonomy. It establishes connections between ontological categories, thereby deriving an ontology that illuminates the intricate nature of hybrid threats within 5G.</p><p>The integration of the 5G vision with the TEN-T initiative for trans-European transport corridors constitutes a significant part of the research. This phase incorporates a comprehensive review of the Connecting Europe Facility (CEF) work plan, encompassing vital elements like Multi-Access Edge Computing (MEC), Network Function Virtualization (NFV), Software-Defined Networking (SDN), FOG/EDGE/CLOUD computing.</p><p>The study also delves into the intricacies of 5G cybersecurity, examining ENISA's contributions to 5G network security and risk while navigating the landscape of applicable EU and national laws, along with EU guidance. This exploration extends to cybersecurity implications within the context of the CEF funding program.</p><p>Significantly, the integration of RDF coding plays a pivotal role in aligning the developed ontology with the JRC Cybersecurity Taxonomy. This exposition represents a milestone in the field of 5G cybersecurity, as it effectively aligns a comprehensive ontology, designed to comprehend and mitigate hybrid threats in 5G networks, with the JRC Cybersecurity Taxonomy. The alignment is achieved by leveraging RDF coding techniques, which have greatly enhanced the ontology's machine-readability and interoperability.</p>",2025-10-02T06:48:28.433020+00:00,2025-10-02T06:48:28.808699+00:00,"5G Cybersecurity, Hybrid Threats, Ontology Development, RDF (Resource Description Framework), ENISA Threat Taxonomy, EU Cybersecurity Strategies, Automated Analysis in Cybersecurity, JRC Cybersecurity Taxonomy",10.12688/openreseurope.16916.1,,cc-by-4.0,publication
HOCC: An ontology for holistic description of cluster settings,"Poulakis, Yannis, Fatouros, Georgios, Kousiouris, George, Kyriazis, Dimosthenis","<div>
<div>
<div>
<p>Ontologies have become the de-facto information represen- tation method in the semantic web domain, but recently gained popu- larity in other domains such as cloud computing. In this context, ontolo- gies enable service discovery, effective comparison and selection of IaaS, PaaS and SaaS offerings and ease the application deployment process by tackling what is known as the vendor lock-in problem. In this paper we propose a novel ontology named HOCC: holistic ontology for effec- tive cluster comparison. The ontology design process is based on four different information categories, namely Performance, SLA, cost and en- vironmental impact. In addition we present our approach for populating, managing and taking advantage of the proposed ontology as developed in a real world Kubernetes cluster setting, as well as instantiating the ontology with example services and data (namely performance aspects of a serverless function).</p>
</div>
</div>
</div>",2023-12-18T11:11:38.878219+00:00,2024-07-07T18:55:56.785004+00:00,,10.5281/zenodo.10401131,,cc-by-4.0,publication
A Semantically-Enhanced Modelling Environment for Business Process as a Service,"Knut Hinkelmann, Sabrina Kurjakovic, Benjamin Lammel, Emanuele Laurenzi, Robert Woitsch","<p>In this paper we present a hybrid modeling approach which supports the continuous alignment of business and IT in the cloud. Business Process as a Service provides the end-to-end cloud support for business processes instead of single applications. A graphical modelling environment allows non-technical modelers to design business processes and to specify requirements in human-interpretable way. Via semantic lifting, the graphical models can be annotated with classes and values from an enterprise ontology. The BPaaS Ontology contains the relevant classes for the smart Business and IT-Cloud alignment. It supports the modeler in using a standard terminology and thus ensures consistent modeling. </p>",2017-01-18T15:52:51.997977+00:00,2024-08-03T17:22:24.695146+00:00,"semantic lifting, enterprise modelling, business process as a service, cloud computing",10.5281/zenodo.250875,,cc-by-4.0,publication
Web-Based Technologies In Library And Information Services,Mrs. Manisha Suhas Patil,"<p><em><span>Web technology plays a pivotal role in contemporary society, revolutionizing how information is disseminated, accessed, and managed. Recent advancements in web-based technologies have created new dimensions for libraries, enabling them to provide diverse and innovative information services to users. This paper explores the significance of web-based technologies in library and information services, focusing on emerging tools such as social networking sites, instant messaging, RSS, blogs, wikis, podcasting, tagging, mobile libraries, mobile OPACs, QR codes, cloud computing, semantic web, and ontologies. Practical and theoretical applications of these technologies in modern library practices are examined. The study concludes that leveraging web-based technologies enables libraries to transform from traditional repositories into dynamic knowledge hubs, offering seamless access to information anytime, anywhere.</span></em></p>",2025-10-06T04:22:29.249625+00:00,2025-10-06T04:22:29.465189+00:00,,10.5281/zenodo.17274958,,cc-by-4.0,publication
Cloud Warehousing,"Ma, Hui, Schewe, Klaus-Dieter, Thalheim, Bernhard, Wang, Qing","Data warehouses integrate and aggregate data from various sources to support decision making within an enterprise. Usually, it is assumed that data are extracted from operational databases used by the enterprise. Cloud warehousing relaxes this view permitting data sources to be located anywhere on the world-wide web in a so-called ""cloud"", which is understood as a registry of services. Thus, we need a model of dataintensive web services, for which we adopt the view of the recently introduced model of abstract state services (AS2s). An AS2 combines a hidden database layer with an operation-equipped view layer, and thus provides an abstraction of web services that can be made available for use by other systems. In this paper we extend this model to an abstract model of clouds by means of an ontology for service description. The ontology can be specified using description logics, where the ABox contains the set of services, and the TBox can be queried to find suitable services. Consequently, AS2 composition can be used for cloud warehousing.",2022-08-17T05:36:13.159496+00:00,2024-07-16T05:59:48.811113+00:00,"cloud computing, data warehouse, service-oriented computing, service composition, tenants, service ontology",10.3217/jucs-017-08-1183,,cc-by-4.0,publication
"Smart Enterprises: The Integration of Cloud, AI, And Semantic Web for Transforming Digital Marketing","Shahwan, Younis Ali, Subhi R., M. Zeebaree","<div>
<div>


<div>
<div>
<div>
<div>
<div>
<div>
<div>
<div>


<p>The rapid advancement of cloud computing, artificial intelligence (AI), and web technologies has redefined the landscape of digital marketing, enabling enterprises to become smarter, more agile, and data-driven. This paper explores how these digital enablers are transforming marketing strategies, customer engagement, and business operations across various sectors. By synthesizing findings from recent studies, the research identifies key technologies&mdash;such as big data analytics, AI-powered personalization, CRM systems, and cloud-based platforms&mdash;that drive marketing innovation. It also highlights the role of digital transformation in enhancing operational efficiency, sustainability, and cross-functional collaboration. Special attention is given to small and medium enterprises (SMEs), which face both opportunities and barriers in adopting digital tools. The study concludes that while cloud AI and web technologies significantly boost marketing performance, their success depends on strategic alignment, digital maturity, and organizational readiness. This research contributes a comprehensive understanding of how smart enterprises leverage digital technologies to thrive in an increasingly competitive and connected marketplace.</p>

</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>

</div>
</div>
<div>
<div>&nbsp;</div>
</div>",2025-06-20T06:59:33.455913+00:00,2025-06-20T06:59:33.618685+00:00,"Cloud Computing,  Artificial Intelligence (AI),  Web Technologies,  Digital Marketing,  Smart Enterprises,  Big Data Analytics,  CRM Systems, DigitalTransformation; Marketing Innovation; SMEs; Operational Efficiency; Digital Maturity; Strategic Alignment",10.5281/zenodo.15703253,,cc-by-4.0,publication
CLOUD SECURITY AND COMPLIANCE - A SEMANTIC APPROACH IN END TO END SECURITY,"Kalaiprasath, R., Elankavi, R., Udayakumar, R.","The Cloud services are becoming an essential part of many organizations. Cloud providers have to adhere to security and privacy policies to ensure their users' data remains confidential and secure. Though there are some ongoing efforts on developing cloud security standards, most cloud providers are implementing a mish-mash of security and privacy controls. This has led to confusion among cloud consumers as to what security measures they should expect from the cloud services, and whether these measures would comply with their security and compliance requirements. We have conducted a comprehensive study to review the potential threats faced by cloud consumers and have determined the compliance models and security controls that should be in place to manage the risk. Based on this study, we have developed an ontology describing the cloud security controls, threats and compliances. We have also developed an application that classifies the security threats faced by cloud users and automatically determines the high level security and compliance policy controls that have to be activated for each threat. The application also displays existing cloud providers that support these security policies. Cloud consumers can use our system to formulate their security policies and find compliant providers even if they are not familiar with the underlying technology.",2017-12-21T07:07:09.329394+00:00,2024-08-02T21:38:08.741236+00:00,"Cloud computing, cloud security, Security compliance models, Cloud security models.",10.21307/ijssis-2017-265,,cc-by-4.0,publication
A Cloud-Based Platform for Service Restoration in Active Distribution Grids,"Haghgoo, Maliheh, Dognini, Alberto, Monti, Antonello","<p>In modern distribution grids, the access to the growing amount of data from various sources, the execution of complex algorithms on-demand, and the control of sparse actuators require on-demand scalability to support fluctuating workloads. Cloud computing technologies represent a viable solution for these requirements. To ensure that data can be exchanged and shared efficiently, as well as the full achievement of the cloud computing benefits to support the advanced analytic and mining required in smart grids, applications can be empowered with semantic information integration. This article adopts the semantic web into a cloud-based platform to analyze power distribution grids data and apply a service restoration application to re-energize loads after an electrical fault. The exemplary implementation of the demo is powered by FIWARE, which is based on open-source and customizable building blocks for future internet applications and services, and the SARGON ontology for the energy domain. The tests are deployed by integrating the semantic information, based on the IEC 61850 data model, in the cloud-based service restoration application and interfacing the field devices of the distribution grids. The platform performances, measured as network latency and computation time, ensure the feasibility of the proposed solution, constituting a reference for the next deployments of smart energy platforms.</p>",2023-02-23T08:57:38.460141+00:00,2024-07-12T14:22:14.169571+00:00,"Smart Energy Platform, Service-oriented, Middleware, FIWARE, Service restoration, Cloud-based platform,, Semantic web, Publication, European Union (EU), H2020 Project, HYPERRIDE, GA 957788",10.1109/TIA.2022.3142661,,cc-by-4.0,publication
Generating an Excerpt of a Service Level Agreement from a Formal Definition of Non-Functional Aspects Using OWL,"Rady, Mariam","If we take a look at current cloud computing services, the only quality guarantee they provide are vague Service Level Agreements(SLA). In this paper we modelled some non-functional aspects in an ontology and used this ontology as a knowledge base to generate an excerpt from a service contract. We concentrate in this excerpt on availability as it is one of the most discussed attributes in current Service Level Agreements.",2021-09-14T04:36:25.779943+00:00,2024-07-17T19:14:53.517845+00:00,"QoS, SLA, contracting, non-functional aspects, OWL, ontology",10.3217/jucs-020-03-0366,,cc-by-4.0,publication
Thinking about datification in the context of training: current challenges,Texier Jose,"<p><strong>Datification is the process of transforming data, through analysis and reorganization, into information that can be modified in any area of knowledge or discipline, but the different technological disruptive changes with the &quot;Information Era&quot;, which is currently being experienced,&nbsp; have focused professionals in Library and Information Sciences (LIS) on the most important resource to make information available to society. Therefore, this article reflects on the education of LIS professionals as the most important challenge for adapting to the endless opportunities that appear today: cloud computing services (IBM Cloud, Google Cloud Platform, Azure), machine learning, the semantic web, MOOCs, open science and open access, free access bibliographic databases, among others. In conclusion, the objective for LIS professionals is to analyze before collecting data, and this is achieved with education and not by a stroke of luck or by simply using a tool.</strong></p>",2021-01-14T11:11:44.401343+00:00,2024-07-19T10:25:44.178446+00:00,"datification, LIS, challenges, opportunities, computer science, education",10.5281/zenodo.4438611,,cc-by-4.0,publication
I-GUIDE Platform for Geospatial Data-Intensive Knowledge Discovery through Scalable Knowledge Graph and Object Storage - BYOP,"Erick, Li, Kumar, Arunesh, Baig, Furqan, Kang, Yunfan, Jaroenchai, Nattapon, Padmanabhan, Anand, Wang, Shaowen","<p>The I-GUIDE Platform provides a scalable, user-centric online environment designed to support geospatial data-intensive convergence research and education. This science gateway enables knowledge discovery, cross-disciplinary collaboration, and computational reproducibility through integrated data infrastructure and AI tools.<br><br>The platform consists of three primary components: a React-based frontend, a Node.js backend, and a Neo4j graph database. All components are hosted on the Jetstream2 cloud infrastructure that is supported by the National Science Foundation. The platform supports dedicated data hosting capabilities through MinIO&ndash;a high-performance, S3-compatible object storage system&ndash;ensuring reliable storage of diverse research files, including large unstructured datasets and CyberGIS-Jupyter notebooks. Importantly, DOI can be issued for user-uploaded datasets, facilitating long-term discoverability and citation of data-intensive scientific knowledge.<br><br>Complementing spatially-aware discovery, OpenSearch is used for indexing and querying structured metadata and GeoJSON-based spatial descriptors. This enables the Element Map feature, which visualizes elements on an interactive map displaying their locations and boundaries. This allows users to intuitively explore spatial relationships between knowledge elements.<br><br>The platform&rsquo;s user interface provides seamless navigation, contribution, and collaboration capabilities, enabling users to access and manage spatially indexed content with ease. To further enhance user experience, the platform introduces a smart search chatbot powered by a Retrieval-Augmented Generation (RAG) pipeline. The chatbot leverages Large Language Models (LLMs) and spatial metadata to provide context-aware, intelligent responses grounded in geospatial knowledge.<br><br>The platform also integrates a JupyterHub environment, enabling users to run uploaded notebooks using high-performance and cloud computing resources with pre-installed geospatial packages. Upcoming support for GPU-enabled HPC resources will further enhance performance for large-scale data analysis and modeling.<br><br>Platform stability is maintained through an automated testing pipeline, while an administrative dashboard facilitates content curation and user activity oversight, ensuring high-quality knowledge contributions and data integrity.<br><br>Users engage with the platform through a variety of use cases, including accessing categorized knowledge elements such as maps, datasets, Jupyter notebooks, publications, educational resources, and GitHub code repositories. The LLM-enabled smart search facilitates exploratory workflows by allowing natural language queries, thereby supporting intuitive access to relevant resources and results. To promote discovery and contextual understanding, users can navigate related elements through the Element Map. Researchers can execute Jupyter notebooks directly within the platform via integrated JupyterHub support, enabling reproducible analysis. Additionally, the platform supports community-driven knowledge exchange, allowing users to contribute original or curated resources through submission forms and data upload interfaces, with the added option to generate DOIs for publishing datasets through the platform.<br><br>Together, these user-centric capabilities and core functionalities form a cohesive, extensible science gateway that empowers researchers and educators to share, explore, and analyze geospatial data for various convergence research and education purposes. By combining cloud-based storage, spatial metadata, AI-powered search, and computational tools at scale, the I-GUIDE Platform advances geospatial data-intensive convergence research, education, and innovation.<br><br>Portal URL: https://platform.i-guide.io</p>",2025-10-26T20:00:58.391232+00:00,2025-10-26T20:00:58.580516+00:00,"cyberGIS, knowledge graph, convergence science, geospatial ai, science gateway",10.5281/zenodo.17450574,,cc-by-4.0,publication
Business Process as a Service (BPaaS): A Model-Based Approach for Smart Business and IT-Cloud Alignment,"Stefan Wesner, Jörg Domaschka, Robert Woitsch, Wilfrid Utz","<p>The use of cloud computing for the benefit of business is an ambitious goal considering the gap between domain-oriented business processes and executable workflows within a Cloud environment. This tutorial teaches a model based approach, where (a) business process specify the domain, (b) workflow models are used to orchestrate cloud offerings, (c) decision models are used for cloud infrastructure adaptations and (d) ontologies are used to semantically glue all parts together. Such a model-based approach enables both, (i) human oriented knowledge technologies and (ii) machine oriented knowledge technologies for a hybrid knowledge processing. This tutorial targets the practical use, the adaptation and implementation of aforementioned model-based knowledge processing and hence targets cloud brokers. These are limited by current “off the shelf” solutions that focus on delivering virtual server, but do not offer the possibility to “re-implement” individualized solution from scratch on a more business oriented level. Hence this tutorial provides initial solutions use but focuses on the adaptation, extension and re-implementation features of the enabling meta-modelling platform. The audience gets introduced into one of the leading meta-modelling platforms called ADOxx, in form of the world-wide active adoxx.org community, which provides tutorials and training in different application domains.</p>",2016-11-01T11:08:11.530168+00:00,2024-08-04T02:14:07.178991+00:00,,10.5281/zenodo.164149,,cc-by-4.0,publication
Data Management Plan,Eloy Hernandez,"<p>This document presents the initial version of the Data Management Plan (DMP) on open access data handling defined for NebulOuS. The aim of the document is to consider the many aspects of data management, data and metadata generation, data preservation- maintenance- and analysis, whilst ensuring that data is well managed at present and prepared for preservation in the future. This Data Management Plan is compiled according to the Guidelines on FAIR Data Management in Horizon Europe projects.</p>",2024-10-18T15:52:47.337152+00:00,2024-10-18T15:52:47.624796+00:00,"Cloud Computing Continuum, Fog Computing, Edge Computing, Meta Operating System, Semantic Models, Ontology, Resource Discovery Mechanism, Multi-Criteria Decision Making (MCDM), Optimization Algorithms, Data-driven Technologies, Pilot Demonstrators, AI-driven Anomaly Detection, Secure Data Management, Interoperability, Data Visualization",10.5281/zenodo.13952153,,,publication
