title,authors,doi,year,source,url
SAutoIDS: a semantic autonomous intrusion detection system based on cellular deep learning and ontology for malware detection in cloud computing,Nazoksara A.R.G.,10.1007/s41870-025-02577-y,2025-01-01,International Journal of Information Technology Singapore,https://api.elsevier.com/content/abstract/scopus_id/105009876587
Point Cloud Networks with Adaptive Sampling and Cross-Domain Feature Interaction,Lu Y.,10.1109/AINIT65432.2025.11035883,2025-01-01,2025 IEEE 6th International Seminar on Artificial Intelligence Networking and Information Technology Ainit 2025,https://api.elsevier.com/content/abstract/scopus_id/105010191541
Accelerating End-Cloud Collaborative Inference via Near Bubble-Free Pipeline Optimization,Gao L.,10.1109/INFOCOM55648.2025.11044632,2025-01-01,Proceedings IEEE INFOCOM,https://api.elsevier.com/content/abstract/scopus_id/105011047818
Observability and Incident Response in Managed Serverless Environments Using Ontology-Based Log Monitoring,Ben-Shimol L.,10.1109/TCC.2025.3598060,2025-01-01,IEEE Transactions on Cloud Computing,https://api.elsevier.com/content/abstract/scopus_id/105013500352
Countering Hybrid Threats: Towards an Ontology for Securing 5G Networks,Paskauskas R.A.,10.1007/978-3-031-71079-7_9,2025-01-01,Communications in Computer and Information Science,https://api.elsevier.com/content/abstract/scopus_id/85208257130
A cross-network integration scheduling mechanism for high-concurrency transmission tasks in computing power networks,Fang Q.,10.1109/ITOEC63606.2025.10968007,2025-01-01,IEEE Information Technology and Mechatronics Engineering Conference Itoec,https://api.elsevier.com/content/abstract/scopus_id/105005832353
Lightning Risk Assessment Algorithm for Overhead Transmission Lines Based on Combined Weighting-Cloud Model,Wang R.,10.1109/ICESEP66633.2025.11155311,2025-01-01,2025 7th International Conference on Energy Systems and Electrical Power Icesep 2025,https://api.elsevier.com/content/abstract/scopus_id/105017591751
On the Design of Resilient Distributed Single Time-Scale Estimators: A Graph-Theoretic Approach,Doostmohammadian M.,10.1109/TNSE.2025.3567348,2025-01-01,IEEE Transactions on Network Science and Engineering,https://api.elsevier.com/content/abstract/scopus_id/105004653656
OTRA: A Risk Management Ontology for Transparent Service Level Agreements in Federated Cloud Environment,Biagioni G.,10.5220/0013209300003950,2025-01-01,International Conference on Cloud Computing and Services Science Closer Proceedings,https://api.elsevier.com/content/abstract/scopus_id/105003534609
Cloud Security: A Model for Attack Detection and Prevention Using AI Technologies,Chahid A.,10.1007/978-3-031-99997-0_16,2025-01-01,Lecture Notes in Networks and Systems,https://api.elsevier.com/content/abstract/scopus_id/105014495612
Enhancing Educational Data Integrity Using Blockchain and Ontologies,Sitanggang T.W.,10.1109/ICCIT65724.2025.11166757,2025-01-01,Proceeding 2025 4th International Conference on Creative Communication and Innovative Technology Empowering Transformative Mature Leadership Harnessing Technological Advancement for Global Sustainability Iccit 2025,https://api.elsevier.com/content/abstract/scopus_id/105018474349
Proteomics and transcriptomic analyses provide new insights into the pectin polysaccharide biosynthesis in Premna puberula Pamp,Yang N.,10.1016/j.ijbiomac.2024.137951,2025-01-01,International Journal of Biological Macromolecules,https://api.elsevier.com/content/abstract/scopus_id/85211231398
Comparison of attribute-based encryption schemes in securing healthcare systems,Walid R.,10.1038/s41598-024-57692-w,2024-12-01,Scientific Reports,https://api.elsevier.com/content/abstract/scopus_id/85188637037
A data science roadmap for open science organizations engaged in early-stage drug discovery,Edfeldt K.,10.1038/s41467-024-49777-x,2024-12-01,Nature Communications,https://api.elsevier.com/content/abstract/scopus_id/85197510804
Taste: Towards Practical Deep Learning-based Approaches for Semantic Type Detection in the Cloud,Li T.,10.48786/edbt.2025.26,2024-11-11,Advances in Database Technology Edbt,https://api.elsevier.com/content/abstract/scopus_id/105007857397
Using Distributed Ledgers To Build Knowledge Graphs For Decentralized Computing Ecosystems,Zaarour T.,10.1145/3627673.3679644,2024-10-21,International Conference on Information and Knowledge Management Proceedings,https://api.elsevier.com/content/abstract/scopus_id/85210022623
Research on the application and practice of curriculum with AI assistance based on students' adaptive learning needs,Ji Z.,10.1145/3687311.3687317,2024-10-02,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85207046144
EPSMR: An efficient privacy-preserving semantic-aware multi-keyword ranked search scheme in cloud,Liu Y.,10.1016/j.future.2024.04.058,2024-10-01,Future Generation Computer Systems,https://api.elsevier.com/content/abstract/scopus_id/85192675737
OntoFuzz: An Information Retrieval Model in a Multi-Tenant Cloud Environment using Neuro-Fuzzy and Ontological-based Approach,Jindal D.,10.56042/jsir.v83i8.812,2024-08-01,Journal of Scientific and Industrial Research,https://api.elsevier.com/content/abstract/scopus_id/85201221086
KG2Rec: LSH-CF recommendation method based on knowledge graph for cloud services,Huang W.,10.1007/s11276-020-02387-z,2024-07-01,Wireless Networks,https://api.elsevier.com/content/abstract/scopus_id/85086090548
Intelligent Text Mining for Ontological Knowledge Graph Refinement and Patent Portfolio Analysis—Case Study of Net-Zero Data Center Innovation Management,Trappey A.J.C.,10.3390/info15070374,2024-07-01,Information Switzerland,https://api.elsevier.com/content/abstract/scopus_id/85199863802
Digital twin system framework and information model for industry chain based on industrial Internet,Wang W.,10.1631/FITEE.2300123,2024-07-01,Frontiers of Information Technology and Electronic Engineering,https://api.elsevier.com/content/abstract/scopus_id/85199870543
"CCPA: cloud-based, self-learning modules for consensus pathway analysis using GO, KEGG and Reactome",Nguyen H.,10.1093/bib/bbae222,2024-07-01,Briefings in Bioinformatics,https://api.elsevier.com/content/abstract/scopus_id/85199539616
NCI Cancer Research Data Commons: Core Standards and Services,Brady A.,10.1158/0008-5472.CAN-23-2655,2024-05-01,Cancer Research,https://api.elsevier.com/content/abstract/scopus_id/85192112414
Leveraging semantic context to establish access controls for secure cloud-based electronic health records,Walid R.,10.1016/j.jjimei.2023.100211,2024-04-01,International Journal of Information Management Data Insights,https://api.elsevier.com/content/abstract/scopus_id/85182353316
Anomaly Detection in Cloud Computing using Knowledge Graph Embedding and Machine Learning Mechanisms,Mitropoulou K.,10.1007/s10723-023-09727-1,2024-03-01,Journal of Grid Computing,https://api.elsevier.com/content/abstract/scopus_id/85180824312
Service-Oriented SAGIN With Pervasive Intelligence for Resource-Constrained Users,Jia M.,10.1109/MNET.2024.3353414,2024-03-01,IEEE Network,https://api.elsevier.com/content/abstract/scopus_id/85182945264
When Quantum Information Technologies Meet Blockchain in Web 3.0,Xu M.,10.1109/MNET.134.2200578,2024-03-01,IEEE Network,https://api.elsevier.com/content/abstract/scopus_id/85160260204
CFViSA: A comprehensive and free platform for visualization and statistics in omics-data,Wang N.,10.1016/j.compbiomed.2024.108206,2024-03-01,Computers in Biology and Medicine,https://api.elsevier.com/content/abstract/scopus_id/85186268891
Knowledge representation of the state of a cloud-native application,Kosińska J.,10.1007/s10009-023-00705-2,2024-02-01,International Journal on Software Tools for Technology Transfer,https://api.elsevier.com/content/abstract/scopus_id/85162654182
Integrating a Categorial Structure for Clinical Practice into EHRs,Hovenga E.J.S.,10.3233/SHTI230930,2024-01-25,Studies in Health Technology and Informatics,https://api.elsevier.com/content/abstract/scopus_id/85183587196
Research on secure and trustworthy cross domain collaborative computing methods for data,Liu X.,10.1117/12.3032067,2024-01-01,Proceedings of SPIE the International Society for Optical Engineering,https://api.elsevier.com/content/abstract/scopus_id/85196545211
Knowledge Graph to Facilitate Cloud Security Compliance with NIST Cybersecurity Framework,Wong W.,10.1109/ICCVIT63928.2024.10872451,2024-01-01,2024 2nd International Conference on Computer Vision and Intelligent Technology Iccvit 2024 Proceedings,https://api.elsevier.com/content/abstract/scopus_id/85219597618
A digital transformation: Advancing power standards with knowledge graphs and intelligent applications,Gao X.,10.1117/12.3033376,2024-01-01,Proceedings of SPIE the International Society for Optical Engineering,https://api.elsevier.com/content/abstract/scopus_id/85200797753
Dynamic Searchable Symmetric Encrypted Knowledge Graph,Chen Z.,10.1109/ICCSN63464.2024.10793303,2024-01-01,2024 16th International Conference on Communication Software and Networks Iccsn 2024,https://api.elsevier.com/content/abstract/scopus_id/85216720496
Fault Injection with Enhanced Observability for Resilient Cloud-Edge Computing,Ruan J.,10.18293/SEKE2024-017,2024-01-01,Proceedings of the International Conference on Software Engineering and Knowledge Engineering Seke,https://api.elsevier.com/content/abstract/scopus_id/85218636753
Advanced Methodologies and Technologies for Innovative Information Systems,Cecil R.R.,10.1109/BIBM62325.2024.10822796,2024-01-01,Proceedings 2024 IEEE International Conference on Bioinformatics and Biomedicine Bibm 2024,https://api.elsevier.com/content/abstract/scopus_id/85217274792
KGFabric: A Scalable Knowledge Graph Warehouse for Enterprise Data Interconnection,Yi P.,10.14778/3685800.3685810,2024-01-01,Proceedings of the VLDB Endowment,https://api.elsevier.com/content/abstract/scopus_id/85205288024
Advancing Root Cause Analysis in Cloud-native System with Knowledge Graph Path Embedding Translation,Li P.,10.1109/CSCWD61410.2024.10580547,2024-01-01,Proceedings of the 2024 27th International Conference on Computer Supported Cooperative Work in Design Cscwd 2024,https://api.elsevier.com/content/abstract/scopus_id/85199116054
Cloud Computing Resource Scheduling Algorithm Based on Unsampled Collaborative Knowledge Graph Network,Sun H.,10.1109/ACCESS.2024.3472212,2024-01-01,IEEE Access,https://api.elsevier.com/content/abstract/scopus_id/85207012304
Design of Digital Integrated Intelligent Platform for Electric Power Design Based on Knowledge Graph,Zhu W.,10.1109/IAECST64597.2024.11117644,2024-01-01,2024 6th International Academic Exchange Conference on Science and Technology Innovation Iaecst 2024,https://api.elsevier.com/content/abstract/scopus_id/105016004100
Research on Data-Driven Financial Risk Prediction Model Based on Cloud Computing,Qinyi L.,10.1109/CIPAE64326.2024.00147,2024-01-01,Proceedings 2024 International Conference on Computers Information Processing and Advanced Education Cipae 2024,https://api.elsevier.com/content/abstract/scopus_id/85216129981
Recommendations for Responding to System Security Incidents Using Knowledge Graph Embedding,Kim H.J.,10.3390/electronics13010171,2024-01-01,Electronics Switzerland,https://api.elsevier.com/content/abstract/scopus_id/85181916002
Link Prediction in Knowledge Graphs for Graph Convolutional Networks,Xie X.,10.1109/IACIS61494.2024.10721627,2024-01-01,International Conference on Intelligent Algorithms for Computational Intelligence Systems Iacis 2024,https://api.elsevier.com/content/abstract/scopus_id/85208785864
Research on Transparent Access Technology of Government Big Data,Li H.,10.17559/TV-20230630000775,2024-01-01,Tehnicki Vjesnik,https://api.elsevier.com/content/abstract/scopus_id/85192709264
Automated Semantic Interpretations in Web Applications via Cloud Computing Aspects,Preethi D.,10.1109/IC3SE62002.2024.10593024,2024-01-01,Proceedings of International Conference on Communication Computer Sciences and Engineering Ic3se 2024,https://api.elsevier.com/content/abstract/scopus_id/85200675578
Research on Database Language Query Method Based on Cloud Computing Platform,Gong S.,10.1007/978-3-031-50577-5_20,2024-01-01,Lecture Notes of the Institute for Computer Sciences Social Informatics and Telecommunications Engineering Lnicst,https://api.elsevier.com/content/abstract/scopus_id/85186654064
Semantic Interoperability in Multi-Cloud Platforms: A Reference Architecture Utilizing an Ontology-Based Approach,Hamdan N.M.,10.18517/ijaseit.14.6.19861,2024-01-01,International Journal on Advanced Science Engineering and Information Technology,https://api.elsevier.com/content/abstract/scopus_id/85214294415
A Deep Analysis on Security Aspects of Cloud Computing Ontologies,Bisht G.S.,10.1109/IC2PCT60090.2024.10486301,2024-01-01,Proceedings International Conference on Computing Power and Communication Technologies Ic2pct 2024,https://api.elsevier.com/content/abstract/scopus_id/85191178107
owl2proto: Enabling Semantic Processing in Modern Cloud Micro-Services,Banse C.,10.5220/0012993600003838,2024-01-01,International Joint Conference on Knowledge Discovery Knowledge Engineering and Knowledge Management Ic3k Proceedings,https://api.elsevier.com/content/abstract/scopus_id/85215322039
Ontology Based Resource Allocation in Sustainable Cloud Computing System,Chakraborty K.,10.1109/ARIIA63345.2024.11051953,2024-01-01,2024 International Conference on Augmented Reality Intelligent Systems and Industrial Automation Ariia 2024,https://api.elsevier.com/content/abstract/scopus_id/105012112753
Title: Is the human-in-the-loop necessary to accurately apply large language models for enterprise decision-making?,Juneja A.,10.1190/image2024-4101715.1,2024-01-01,Seg Technical Program Expanded Abstracts,https://api.elsevier.com/content/abstract/scopus_id/105001157228
Integrating Hybrid Cloud Solutions in Telerehabilitation,Malakhov K.,,2024-01-01,Ceur Workshop Proceedings,https://api.elsevier.com/content/abstract/scopus_id/85209356218
Multi-criteria based virtual SaaS Selection in Cloud Environment,Kouchi S.,10.1109/GCET64327.2024.10934712,2024-01-01,Global Congress on Emerging Technologies Gcet 2024,https://api.elsevier.com/content/abstract/scopus_id/105002557304
Best Practices for Resource Provisioning Declaration Within the Cognitive Cloud Continuum,Moreschini S.,10.1109/SEAA64295.2024.00028,2024-01-01,Proceedings of the Euromicro Conference on Software Engineering and Advanced Applications Euromicro Seaa,https://api.elsevier.com/content/abstract/scopus_id/85218637186
A Comprehensive Survey on Strategies for Enhancing Cloud Security and Data Protection,Yalla S.T.,10.1109/ICSCNA63714.2024.10864156,2024-01-01,5th International Conference on Sustainable Communication Networks and Application Icscna 2024 Proceedings,https://api.elsevier.com/content/abstract/scopus_id/85219617891
"Connected Vehicle: Ontology, Taxonomy and Use Cases",Baumann D.,10.1109/SysCon61195.2024.10553586,2024-01-01,Syscon 2024 18th Annual IEEE International Systems Conference Proceedings,https://api.elsevier.com/content/abstract/scopus_id/85197356751
Efficient and Reliable Data Management for Biomedical Applications,Pribec I.,10.1007/978-1-0716-3449-3_18,2024-01-01,Methods in Molecular Biology Clifton N J,https://api.elsevier.com/content/abstract/scopus_id/85171119635
SEHGN: Semantic-Enhanced Heterogeneous Graph Network for Web API Recommendation,Wang X.,10.1109/TSC.2024.3417323,2024-01-01,IEEE Transactions on Services Computing,https://api.elsevier.com/content/abstract/scopus_id/85196754338
ScenarioModeling for the Virtual Validation and Verification of Cloud-basedMobility Services,Heisig P.,10.46354/i3m.2024.mas.008,2024-01-01,Proceedings of the International Conference on Modeling and Applied Simulation Mas,https://api.elsevier.com/content/abstract/scopus_id/85216028943
Secure Edge Server Placement With Non-Cooperative Game for Internet of Vehicles in Web 3.0,Liu Z.,10.1109/TNSE.2023.3321139,2024-01-01,IEEE Transactions on Network Science and Engineering,https://api.elsevier.com/content/abstract/scopus_id/85174841652
An Efficient Ontology-Based Semantic Interoperability Using MSGO-RNN in Cloud Computing,Chithambaramani R.,10.1155/2024/4974938,2024-01-01,Journal of Optimization,https://api.elsevier.com/content/abstract/scopus_id/85202027240
Tracking the Spread of Pollen on Social Media Using Pollen-Related Messages From Twitter: Retrospective Analysis,Pérez-Pérez M.,10.2196/58309,2024-01-01,Journal of Medical Internet Research,https://api.elsevier.com/content/abstract/scopus_id/85206967175
Intelligent Monitoring Framework for Cloud Services: A Data-Driven Approach,Srinivas P.,10.1145/3639477.3639753,2024-01-01,IEEE ACM International Conference on Software Engineering Software Engineering in Practice,https://api.elsevier.com/content/abstract/scopus_id/105011055394
Dynamic Scheduling of Multi-module Resources in Online Courses for Personalized Learning,Wang Y.,10.1145/3660043.3660223,2023-12-22,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85195404174
An efficient searchable scheme for encrypted high dimensional data,Ge W.,10.1016/j.compeleceng.2023.109016,2023-12-01,Computers and Electrical Engineering,https://api.elsevier.com/content/abstract/scopus_id/85175618315
The IACPaaS Platform for Developing Systems Based on Ontologies: A Decade of Use,Gribova V.V.,10.3103/S0147688223050064,2023-12-01,Scientific and Technical Information Processing,https://api.elsevier.com/content/abstract/scopus_id/85186762630
Multi-Dimensional Cloud Model-Based Assessment and Its Application to the Risk of Supply Chain Financial Companies,Zhou J.,10.4018/IJFSA.333863,2023-11-21,International Journal of Fuzzy System Applications,https://api.elsevier.com/content/abstract/scopus_id/85178995882
Plant leaf deep semantic segmentation and a novel benchmark dataset for morning glory plant harvesting,Su J.,10.1016/j.neucom.2023.126609,2023-10-28,Neurocomputing,https://api.elsevier.com/content/abstract/scopus_id/85167454461
Enabling Privacy-Preserving and Efficient Authenticated Graph Queries on Blockchain-Assisted Clouds,Wu H.,10.1109/TKDE.2023.3249279,2023-09-01,IEEE Transactions on Knowledge and Data Engineering,https://api.elsevier.com/content/abstract/scopus_id/85149400148
A novel semantic-aware search scheme based on BCI-tree index over encrypted cloud data,Zhou Q.,10.1007/s11280-023-01176-w,2023-09-01,World Wide Web,https://api.elsevier.com/content/abstract/scopus_id/85160714271
Evolutionary Algorithms Approach For Search Based On Semantic Document Similarity,Muniyappa C.,10.1145/3617733.3617753,2023-08-04,ACM International Conference Proceeding Series,https://api.elsevier.com/content/abstract/scopus_id/85177613683
Establishment of a mindmap for medical e-Diagnosis as a service for graph-based learning and analytics,Mohammed S.,10.1007/s00521-021-06200-6,2023-08-01,Neural Computing and Applications,https://api.elsevier.com/content/abstract/scopus_id/85115145282
Semantic web-based collaborative design system in cloud computing environment,Di J.,10.1007/s00500-023-08197-7,2023-07-01,Soft Computing,https://api.elsevier.com/content/abstract/scopus_id/85153056482
Applications of Knowledge Graphs in Telecommunication Systems Management,Zorzano Mier F.J.,10.1109/MIC.2023.3253305,2023-05-01,IEEE Internet Computing,https://api.elsevier.com/content/abstract/scopus_id/85149898390
Efficient query evaluation techniques over large amount of distributed linked data,Kalogeros E.,10.1016/j.is.2023.102194,2023-05-01,Information Systems,https://api.elsevier.com/content/abstract/scopus_id/85148939270
Research on unbalanced mining of highway project key data based on knowledge graph and cloud model,Wang Y.,10.1016/j.aej.2023.01.010,2023-04-01,Alexandria Engineering Journal,https://api.elsevier.com/content/abstract/scopus_id/85146674506
A Semantic Evidence-based Approach to Continuous Cloud Service Certification,Banse C.,10.1145/3555776.3577600,2023-03-27,Proceedings of the ACM Symposium on Applied Computing,https://api.elsevier.com/content/abstract/scopus_id/85162879501
Genome-wide screening and identification of potential kinases involved in endoplasmic reticulum stress responses,Firoz A.,10.1016/j.lfs.2023.121452,2023-03-15,Life Sciences,https://api.elsevier.com/content/abstract/scopus_id/85147211040
Research on Intelligent Question-Answering Systems Based on Large Language Models and Knowledge Graphs,Wu Q.,10.1109/ISCID59865.2023.00045,2023-01-01,Proceedings 2023 16th International Symposium on Computational Intelligence and Design Iscid 2023,https://api.elsevier.com/content/abstract/scopus_id/85191753770
Evaluation of Cloud Platform Operation and Maintenance Time Series Knowledge Graph State by Integrating Knowledge Graph and Graph Learning,Li Z.,10.1109/IAECST60924.2023.10503357,2023-01-01,2023 5th International Academic Exchange Conference on Science and Technology Innovation Iaecst 2023,https://api.elsevier.com/content/abstract/scopus_id/85192350090
Knowledge Graphs for Textbooks: Extraction and Completion Techniques,Yao Y.,10.1109/AIKE59827.2023.00014,2023-01-01,Proceedings 2023 IEEE 6th International Conference on Artificial Intelligence and Knowledge Engineering Aike 2023,https://api.elsevier.com/content/abstract/scopus_id/85183596669
Leveraging Infrastructure Knowledge Graph for Cloud,Jolly A.,10.1109/AECE59614.2023.10428615,2023-01-01,2023 3rd International Conference on Advancement in Electronics and Communication Engineering Aece 2023,https://api.elsevier.com/content/abstract/scopus_id/85186514709
Towards a Knowledge Graph Enhanced Automation and Collaboration Framework for Digital Twins,Christou V.,10.1109/e-Science58273.2023.10254845,2023-01-01,Proceedings 2023 IEEE 19th International Conference on E Science E Science 2023,https://api.elsevier.com/content/abstract/scopus_id/85174318754
Semantically Rich Differential Access to Secure Cloud EHR,Walid R.,10.1109/BigDataSecurity-HPSC-IDS58521.2023.00012,2023-01-01,Proceedings 2023 IEEE 9th International Conference on Big Data Security on Cloud IEEE International Conference on High Performance and Smart Computing and IEEE International Conference on Intelligent Data and Security Bigdatasecurity Hpsc IDS 2023,https://api.elsevier.com/content/abstract/scopus_id/85161819714
Exploration Advisory Tool: AI and NLP in the Geosciences,Entrup B.,,2023-01-01,84th Eage Annual Conference and Exhibition,https://api.elsevier.com/content/abstract/scopus_id/85195450117
Research and Application of Intelligent Search for Knowledge Graph of Power Grid Dispatch and Control,Liu S.,10.1117/12.2681383,2023-01-01,Proceedings of SPIE the International Society for Optical Engineering,https://api.elsevier.com/content/abstract/scopus_id/85163340689
A Shortest Path Query Approach for Encrypted Graphs Based on Padding Dictionary Structure,Yang M.,10.1109/CAC59555.2023.10451139,2023-01-01,Proceedings 2023 China Automation Congress Cac 2023,https://api.elsevier.com/content/abstract/scopus_id/85189356937
