title,author,description,created,updated,keywords,url,license
D7.1 Infrastructure Design and Setup,"Middle, Sarah, Richards, Julian","<p>The present document aims to define the setup of the ARTEMIS infrastructure, in terms of resources and related services that will be made available for both data and application management. As such, the document describes the technical solutions selected for implementation and integration within the infrastructure, providing different services to the ARTEMIS community.</p>
<p>These activities have taken place within WP7, which is divided into three tasks, concerning the cloud infrastructure (7.1), the data infrastructure (7.2) and the services infrastructure (7.3).</p>
<p>For the purposes of this document, tasks 7.1 and 7.3 have been combined into a single section incorporating topics such as resource provisioning, container deployment and container orchestration. We also promote best practices to port cultural heritage applications onto the cloud platform provided for the ARTEMIS project and give a set of recommendations to ensure security, resilience and usability of those applications and services made available to the community as cloud-enabled tools.</p>
<p>With regard to task 7.2, the document covers areas including data management, analysis, and enrichment of cultural heritage information in a digital twin ecosystem. In addition to the implementation of existing tools for these purposes, we describe our initial experimentation with the application of AI technologies. We also provide a detailed description of the ARTEMIS ontology and its interaction with new and existing controlled vocabularies, as well as presenting the ontology itself in its entirety as an appendix.</p>",2025-09-30,2025-09-25T10:05:36.074035+00:00,,10.5281/zenodo.17142050,cc-by-4.0
Application of machine learning methods for filling and updating nuclear knowledge bases,"Telnov, Victor P., Korovin, Yury A.","<p>The paper deals with issues of designing and creating knowledge bases in the field of nuclear science and technology. The authors present the results of searching for and testing optimal classification and semantic annotation algorithms applied to the textual network content for the convenience of computer-aided filling and updating of scalable semantic repositories (knowledge bases) in the field of nuclear physics and nuclear power engineering and, in the future, for other subject areas, both in Russian and English. The proposed algorithms will provide a methodological and technological basis for creating problem-oriented knowledge bases as artificial intelligence systems, as well as prerequisites for the development of semantic technologies for acquiring new knowledge on the Internet without direct human participation. Testing of the studied machine learning algorithms is carried out by the cross-validation method using corpora of specialized texts. The novelty of the presented study lies in the application of the Pareto optimality principle for multi-criteria evaluation and ranking of the studied algorithms in the absence of a priori information about the comparative significance of the criteria. The project is implemented in accordance with the Semantic Web standards (RDF, OWL, SPARQL, etc.). There are no technological restrictions for integrating the created knowledge bases with third-party data repositories as well as metasearch, library, reference or information and question-answer systems. The proposed software solutions are based on cloud computing using DBaaS and PaaS service models to ensure the scalability of data warehouses and network services. The created software is in the public domain and can be freely replicated.</p>",2023-06-20,2024-07-11T20:53:16.826940+00:00,"semantic web, knowledge base, machine learning, classification, semantic annotation, cloud computing",10.3897/nucet.9.106759,cc-by-4.0
HOCC: An ontology for holistic description of cluster settings,"Poulakis, Yannis, Fatouros, Georgios, Kousiouris, George, Kyriazis, Dimosthenis","<div>
<div>
<div>
<p>Ontologies have become the de-facto information represen- tation method in the semantic web domain, but recently gained popu- larity in other domains such as cloud computing. In this context, ontolo- gies enable service discovery, effective comparison and selection of IaaS, PaaS and SaaS offerings and ease the application deployment process by tackling what is known as the vendor lock-in problem. In this paper we propose a novel ontology named HOCC: holistic ontology for effec- tive cluster comparison. The ontology design process is based on four different information categories, namely Performance, SLA, cost and en- vironmental impact. In addition we present our approach for populating, managing and taking advantage of the proposed ontology as developed in a real world Kubernetes cluster setting, as well as instantiating the ontology with example services and data (namely performance aspects of a serverless function).</p>
</div>
</div>
</div>",2022,2024-07-07T18:55:56.785004+00:00,,10.5281/zenodo.10401131,cc-by-4.0
Decoding 5G security: toward a hybrid threat ontology,"Paskauskas, R. Andrew","<p>The rapid deployment of 5G technology ushers in a new era of connectivity with unparalleled potential, but it also presents unprecedented security challenges.</p><p>A meticulous review of ENISA's Taxonomy is undertaken, specifically in its application to 5G networks and their cybersecurity assets. This work also evaluates the relevance of cybersecurity structures in other EU papers and ENISA reports, providing critical insights into the evolving landscape of cybersecurity.</p><p>In the context of hybrid threats, the study categorizes these multifaceted challenges using the established taxonomy. It establishes connections between ontological categories, thereby deriving an ontology that illuminates the intricate nature of hybrid threats within 5G.</p><p>The integration of the 5G vision with the TEN-T initiative for trans-European transport corridors constitutes a significant part of the research. This phase incorporates a comprehensive review of the Connecting Europe Facility (CEF) work plan, encompassing vital elements like Multi-Access Edge Computing (MEC), Network Function Virtualization (NFV), Software-Defined Networking (SDN), FOG/EDGE/CLOUD computing.</p><p>The study also delves into the intricacies of 5G cybersecurity, examining ENISA's contributions to 5G network security and risk while navigating the landscape of applicable EU and national laws, along with EU guidance. This exploration extends to cybersecurity implications within the context of the CEF funding program.</p><p>Significantly, the integration of RDF coding plays a pivotal role in aligning the developed ontology with the JRC Cybersecurity Taxonomy. This exposition represents a milestone in the field of 5G cybersecurity, as it effectively aligns a comprehensive ontology, designed to comprehend and mitigate hybrid threats in 5G networks, with the JRC Cybersecurity Taxonomy. The alignment is achieved by leveraging RDF coding techniques, which have greatly enhanced the ontology's machine-readability and interoperability.</p>",2024-02-19,2025-10-02T06:48:28.808699+00:00,"5G Cybersecurity, Hybrid Threats, Ontology Development, RDF (Resource Description Framework), ENISA Threat Taxonomy, EU Cybersecurity Strategies, Automated Analysis in Cybersecurity, JRC Cybersecurity Taxonomy",10.12688/openreseurope.16916.1,cc-by-4.0
Web-Based Technologies In Library And Information Services,Mrs. Manisha Suhas Patil,"<p><em><span>Web technology plays a pivotal role in contemporary society, revolutionizing how information is disseminated, accessed, and managed. Recent advancements in web-based technologies have created new dimensions for libraries, enabling them to provide diverse and innovative information services to users. This paper explores the significance of web-based technologies in library and information services, focusing on emerging tools such as social networking sites, instant messaging, RSS, blogs, wikis, podcasting, tagging, mobile libraries, mobile OPACs, QR codes, cloud computing, semantic web, and ontologies. Practical and theoretical applications of these technologies in modern library practices are examined. The study concludes that leveraging web-based technologies enables libraries to transform from traditional repositories into dynamic knowledge hubs, offering seamless access to information anytime, anywhere.</span></em></p>",2025-10-06,2025-10-06T04:22:29.465189+00:00,,10.5281/zenodo.17274958,cc-by-4.0
A Semantically-Enhanced Modelling Environment for Business Process as a Service,"Knut Hinkelmann, Sabrina Kurjakovic, Benjamin Lammel, Emanuele Laurenzi, Robert Woitsch","<p>In this paper we present a hybrid modeling approach which supports the continuous alignment of business and IT in the cloud. Business Process as a Service provides the end-to-end cloud support for business processes instead of single applications. A graphical modelling environment allows non-technical modelers to design business processes and to specify requirements in human-interpretable way. Via semantic lifting, the graphical models can be annotated with classes and values from an enterprise ontology. The BPaaS Ontology contains the relevant classes for the smart Business and IT-Cloud alignment. It supports the modeler in using a standard terminology and thus ensures consistent modeling. </p>",2016-11-02,2024-08-03T17:22:24.695146+00:00,"semantic lifting, enterprise modelling, business process as a service, cloud computing",10.5281/zenodo.250875,cc-by-4.0
"Smart Enterprises: The Integration of Cloud, AI, And Semantic Web for Transforming Digital Marketing","Shahwan, Younis Ali, Subhi R., M. Zeebaree","<div>
<div>


<div>
<div>
<div>
<div>
<div>
<div>
<div>
<div>


<p>The rapid advancement of cloud computing, artificial intelligence (AI), and web technologies has redefined the landscape of digital marketing, enabling enterprises to become smarter, more agile, and data-driven. This paper explores how these digital enablers are transforming marketing strategies, customer engagement, and business operations across various sectors. By synthesizing findings from recent studies, the research identifies key technologies&mdash;such as big data analytics, AI-powered personalization, CRM systems, and cloud-based platforms&mdash;that drive marketing innovation. It also highlights the role of digital transformation in enhancing operational efficiency, sustainability, and cross-functional collaboration. Special attention is given to small and medium enterprises (SMEs), which face both opportunities and barriers in adopting digital tools. The study concludes that while cloud AI and web technologies significantly boost marketing performance, their success depends on strategic alignment, digital maturity, and organizational readiness. This research contributes a comprehensive understanding of how smart enterprises leverage digital technologies to thrive in an increasingly competitive and connected marketplace.</p>

</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>

</div>
</div>
<div>
<div>&nbsp;</div>
</div>",2025-06-20,2025-06-20T06:59:33.618685+00:00,"Cloud Computing,  Artificial Intelligence (AI),  Web Technologies,  Digital Marketing,  Smart Enterprises,  Big Data Analytics,  CRM Systems, DigitalTransformation; Marketing Innovation; SMEs; Operational Efficiency; Digital Maturity; Strategic Alignment",10.5281/zenodo.15703253,cc-by-4.0
CLOUD SECURITY AND COMPLIANCE - A SEMANTIC APPROACH IN END TO END SECURITY,"Kalaiprasath, R., Elankavi, R., Udayakumar, R.","The Cloud services are becoming an essential part of many organizations. Cloud providers have to adhere to security and privacy policies to ensure their users' data remains confidential and secure. Though there are some ongoing efforts on developing cloud security standards, most cloud providers are implementing a mish-mash of security and privacy controls. This has led to confusion among cloud consumers as to what security measures they should expect from the cloud services, and whether these measures would comply with their security and compliance requirements. We have conducted a comprehensive study to review the potential threats faced by cloud consumers and have determined the compliance models and security controls that should be in place to manage the risk. Based on this study, we have developed an ontology describing the cloud security controls, threats and compliances. We have also developed an application that classifies the security threats faced by cloud users and automatically determines the high level security and compliance policy controls that have to be activated for each threat. The application also displays existing cloud providers that support these security policies. Cloud consumers can use our system to formulate their security policies and find compliant providers even if they are not familiar with the underlying technology.",2017-09-01,2024-08-02T21:38:08.741236+00:00,"Cloud computing, cloud security, Security compliance models, Cloud security models.",10.21307/ijssis-2017-265,cc-by-4.0
A Cloud-Based Platform for Service Restoration in Active Distribution Grids,"Haghgoo, Maliheh, Dognini, Alberto, Monti, Antonello","<p>In modern distribution grids, the access to the growing amount of data from various sources, the execution of complex algorithms on-demand, and the control of sparse actuators require on-demand scalability to support fluctuating workloads. Cloud computing technologies represent a viable solution for these requirements. To ensure that data can be exchanged and shared efficiently, as well as the full achievement of the cloud computing benefits to support the advanced analytic and mining required in smart grids, applications can be empowered with semantic information integration. This article adopts the semantic web into a cloud-based platform to analyze power distribution grids data and apply a service restoration application to re-energize loads after an electrical fault. The exemplary implementation of the demo is powered by FIWARE, which is based on open-source and customizable building blocks for future internet applications and services, and the SARGON ontology for the energy domain. The tests are deployed by integrating the semantic information, based on the IEC 61850 data model, in the cloud-based service restoration application and interfacing the field devices of the distribution grids. The platform performances, measured as network latency and computation time, ensure the feasibility of the proposed solution, constituting a reference for the next deployments of smart energy platforms.</p>",2022-01-13,2024-07-12T14:22:14.169571+00:00,"Smart Energy Platform, Service-oriented, Middleware, FIWARE, Service restoration, Cloud-based platform,, Semantic web, Publication, European Union (EU), H2020 Project, HYPERRIDE, GA 957788",10.1109/TIA.2022.3142661,cc-by-4.0
THE EVOLVING CLOUD SECURITY LANDSCAPE: CHALLENGES AND SOLUTIONS,"Syed Zaid, Pranav Kumar Mishra, Yogish TR, Manjunath B","<p><em><span>Cloud Computing has emerged as a pivotal technology<span> </span>in<span> </span>the IT industry<span> </span>over recent years. Its widespread adoption can be<span> </span>attributed to the significant economic benefits it offers. Numerous Cloud Service Providers (CSPs) now enable users to host their applications and data on cloud platforms. However, a major challenge persists in the form of Cloud Security, which hinders the full- scale adoption and utilization of cloud services. This issue continues to prevent many users from taking advantage of the diverse services cloud computing offers.</span></em></p>
<p><em><span>To address these concerns, various mechanisms<span> </span>have been developed to mitigate potential risks under the umbrella of cloud security. In this paper, we propose a Hybrid Cryptographic System<span> </span>(HCS), which combines the strengths of both symmetric<span> </span>and asymmetric encryption techniques to create a secure cloud environment. The study focuses on designing a robust cloud ecosystem that integrates multi-factor authentication and incorporates<span> </span>multiple layers of hashing and encryption to<span> </span>enhance security. The proposed system and algorithms are implemented using the CloudSim simulator. The paper also demonstrates the functionality of the system and presents the results obtained from the simulations, showcasing how the proposed solution ensures data security<span> </span>and privacy within the cloud ecosystem.</span></em></p>",2025-04-01,2025-04-01T06:05:45.047066+00:00,""" Cloud Security, Data Security, Data Privacy, Hybrid Cryptographic System""",10.5281/zenodo.15117664,cc-by-4.0
DEVELOPMENT OF A PROCEDURE FOR EXPERT ESTIMATION OF CAPABILITIES IN DEFENSE PLANNING UNDER MULTICRITERIAL CONDITIONS,"Oleksandr Nesterenko, Igor Netesin, Valery Polischuk, Oleksandr Trofymchuk","<p>Improving the decision-making efficiency in defense planning based on the capabilities of military forces and means for performing purposeful tasks requires new methodological approaches and their implementation in the form of software information-analytical tools. Given the complex information environment of defense planning, it is appropriate for the variants of capabilities development options to be chosen by experts on the methodological basis of multicriterial analysis.</p>

<p>The research result is the development of a procedure, in which it is proposed to generate criteria and evaluate alternative options by integrating ontology, the Analytical Hierarchy Process, and the method of directed graphs. The ontological representation of the data ensures the construction of the hierarchical taxonomy of a domain and the formation of the criteria vector. The Analytical Hierarchy Process is used to conduct an expert evaluation of capabilities by their pairwise comparison against determined criteria. Experts&rsquo; judgments are visualized and controlled using directed graphs. Application of the procedure will make it possible to ensure efficiency, versatility, and simplicity of technical implementation of a procedure of decision making support. The procedure was tested on the example of choosing a capability to conduct reconnaissance for the benefit of ground artillery. It was shown that the evaluation process in the expert activity is considerably simplified due to the graph visualization.</p>

<p>The proposed procedure introduces an innovative tool to achieve strategic goals and accomplish the basic tasks of the defense reform, which is relevant for many countries. The versatility of the procedure creates the basis for its application not only in defense but also in other force departments</p>",2020-08-31,2024-07-19T16:18:33.031000+00:00,"information technologies, multicriterial analysis, ontology, analytical hierarchy process, directed graphs, capabilities, defense planning",10.15587/1729-4061.2020.208603,cc-by-4.0
Application of Deep Learning in Financial Credit Card Fraud Detection,"Bao, Qiaozhi, Wei, Kuo, Xu, Jiahao, Jiang, Wei","<p><span>Credit cards play an important role in our daily life, and the emergence of Internet finance makes credit card payment face more fraud risks. Therefore, it is of great significance to build an efficient credit card fraud detection model and continuously improve the fraud detection accuracy for improving the market system, promoting the healthy development of economy, maintaining the stability of national economy and ensuring financial security.This paper proposes a BERT model for credit card fraud detection to address the challenges posed by imbalanced and high-dimensional datasets. Leveraging BERT's pre-training to capture semantic similarity, the model enhances fraud detection accuracy. Through extensive data preprocessing and model training, the proposed approach achieves a remarkable 99.95% accuracy in detecting fraudulent transactions. The study underscores the importance of leveraging advanced deep learning techniques like BERT to combat evolving fraud tactics in the internet finance industry.</span></p>",2024-04-14,2024-07-06T12:48:22.714633+00:00,"Credit card fraud detection, BERT model, Imbalanced dataset, Deep learning, Data preprocessing",10.5281/zenodo.10960092,cc-by-4.0
AUTOMATION OF HEALTHCARE APPLICATIONS BY INCORPORATION OF IT,Zamira Suyunova,"<p><em>The use of modern technologies in the public, business and healthcare sectors will be examined in this work. The styles of typical behavior of the various life segments indicated above tend to change as a result of recent technology breakthroughs which also negatively impact how these segments function. The technology provides mysterious ways in the realm of automation and shines light on particular sectors that call for acceptable and excellent services. By doing this, the effectiveness of the entire system that is put in place is improved in terms of credibility and accountability. A variety of documentations that are empirically applied in the field of IT are investigated to look into how the automation of the application areas is influenced by IT regarding the equation of responsibility. The investigation goes from the most basic types of transactions which entail lesser levels of automation to highly automated systems which include, among other things, technology that analyze biometric fingerprints. In the example, the accountable potential of IT automation is discussed for the various applications with the goal of examining the advantages of application automation while removing the potentials that are unaccountable and impede the functionality that may result from the use of the systems applications on the various fields. The necessity of striking a balance between the advantages of automated IT applications and the full automation process including any system that would tend to make applications less efficient or raise questions about accountability is emphasized frequently throughout this work.</em></p>",2023-03-12,2024-07-12T12:18:48.226117+00:00,"Information Technology (IT), Automation, Accountability, Public sector, Private sector, Healthcare sector",10.5281/zenodo.7726088,cc-by-4.0
Generating an Excerpt of a Service Level Agreement from a Formal Definition of Non-Functional Aspects Using OWL,"Rady, Mariam","If we take a look at current cloud computing services, the only quality guarantee they provide are vague Service Level Agreements(SLA). In this paper we modelled some non-functional aspects in an ontology and used this ontology as a knowledge base to generate an excerpt from a service contract. We concentrate in this excerpt on availability as it is one of the most discussed attributes in current Service Level Agreements.",2014-03-01,2024-07-17T19:14:53.517845+00:00,"QoS, SLA, contracting, non-functional aspects, OWL, ontology",10.3217/jucs-020-03-0366,cc-by-4.0
Sentiment Analysis of Tweets on Telangana State Government Flagship Schemes,"K. Bhuvaneshwari, Dr. S. A Jyothi Rani, Dr. V. V. Haragopal","<p><strong>Abstract: </strong>Over the last decade, the usage of social media has evolved to a greater extent. Today, social media platforms like Twitter, facebook, snapchat are vastly used to incept the opinions of public about a particular entity. Social media has become a great source of text data. Text analytics plays a crucial role on social media data to give answers to a wide variety of questions about public feedback on many issues or topics. The primary objective of this work is to analyse the public opinion or sentiment in social media on Telangana state government welfare schemes. The purpose of sentiment analysis is to find opinions from tweets and extract sentiments from them and find their polarity, i.e., positive, neutral or negative. Here we are using twitter as it has gained much popularity and media attention. The first step is to extract the tweets on particular schemes through Twitter API and Python language followed by cleaning and pre- processing steps of the raw tweets. Then tfidf vectoriser was invoked for feature extraction and creation of bag of words and finally sentiment polarity scores were obtained by using VADER (Valence Aware Dictionary and sEntiment Reasoner), lexicon and rule-based sentiment analysis tool.</p>",2022-10-30,2024-07-11T22:19:11.099558+00:00,"Sentiment Analysis, Twitter, Vader, Lexicon, Government Schemes",10.35940/ijeat.A3794.1012122,cc-by-4.0
